NAME_1,NAME_2,MU_GLOBAL,SAND_TOP,CLAY_TOP,SILT_TOP
Jammu and Kashmir,Rajouri,3672.0,,,
Jammu and Kashmir,Ramban,3672.0,,,
Jammu and Kashmir,Reasi,3672.0,,,
Jammu and Kashmir,Samba,3799.0,,,
Jammu and Kashmir,Shupiyan,3680.0,,,
Jammu and Kashmir,Srinagar,3680.0,,,
Jammu and Kashmir,Udhampur,3672.0,,,
Jharkhand,Bokaro,3788.0,,,
Jharkhand,Chatra,3785.0,,,
Jharkhand,Deoghar,3834.0,,,
Jharkhand,Dhanbad,3788.0,,,
Jharkhand,Dumka,3834.0,,,
Jharkhand,Garhwa,3791.0,,,
Jharkhand,Giridih,3834.0,,,
Jharkhand,Godda,3806.0,,,
Jharkhand,Gumla,3819.0,,,
Jharkhand,Hazaribagh,3785.0,,,
Jharkhand,Jamtara,3834.0,,,
Jharkhand,Khunti,3819.0,,,
Jharkhand,Kodarma,3659.0,,,
Jharkhand,Latehar,3791.0,,,
Jharkhand,Lohardaga,3727.0,,,
Jharkhand,Pakur,3806.0,,,
Jharkhand,Palamu,3681.0,,,
Jharkhand,Pashchimi Singhbhum,3729.0,,,
Jharkhand,Purbi Singhbhum,6668.0,,,
Jharkhand,Ramgarh,3834.0,,,
Jharkhand,Ranchi,3819.0,,,
Jharkhand,Sahibganj,3834.0,,,
Jharkhand,Saraikela-kharsawan,3860.0,,,
Jharkhand,Simdega,3791.0,,,
Karnataka,Bagalkot,3867.0,,,
Karnataka,Bangalore,3824.0,,,
Karnataka,Bangalore Rural,3824.0,,,
Karnataka,Belgaum,3861.0,,,
Karnataka,Bellary,3781.0,,,
Karnataka,Bidar,3861.0,,,
Karnataka,Bijapur,3861.0,,,
Karnataka,Chamrajnagar,3781.0,,,
Karnataka,Chikballapura,3781.0,,,
Karnataka,Chikmagalur,3656.0,,,
Karnataka,Chitradurga,3781.0,,,
Karnataka,Dakshina Kannada,3817.0,,,
Karnataka,Davanagere,3781.0,,,
Karnataka,Dharwad,3825.0,,,
Karnataka,Gadag,3773.0,,,
Karnataka,Gulbarga,3861.0,,,
Karnataka,Hassan,3781.0,,,
Karnataka,Haveri,3781.0,,,
Karnataka,Kodagu,3826.0,,,
Karnataka,Kolar,3781.0,,,
Karnataka,Koppal,3773.0,,,
Karnataka,Mandya,3781.0,,,
Karnataka,Mysore,3781.0,,,
Karnataka,Raichur,3867.0,,,
Karnataka,Ramanagara,3782.0,,,
Karnataka,Shimoga,3825.0,,,
Karnataka,Tumkur,3781.0,,,
Karnataka,Udupi,3817.0,,,
Karnataka,Uttara Kannada,3656.0,,,
Karnataka,Yadgir,3867.0,,,
Kerala,Alappuzha,3844.0,,,
Kerala,Ernakulam,3817.0,,,
Kerala,Idukki,3656.0,,,
Kerala,Kannur,3817.0,,,
Kerala,Kasaragod,3817.0,,,
Kerala,Kollam,3817.0,,,
Kerala,Kottayam,3817.0,,,
Kerala,Kozhikode,3817.0,,,
Kerala,Malappuram,3817.0,,,
Kerala,Palakkad,3656.0,,,
Kerala,Pathanamthitta,3656.0,,,
Kerala,Thiruvananthapuram,3817.0,,,
Kerala,Thrissur,3656.0,,,
Kerala,Wayanad,3824.0,,,
Lakshadweep,Lakshadweep,3844.0,,,
Madhya Pradesh,Agar Malwa,3861.0,,,
Madhya Pradesh,Alirajpur,3696.0,,,
