NAME_1,NAME_2,MU_GLOBAL,SAND_TOP,CLAY_TOP,SILT_TOP
Gujarat,Narmada,3696.0,26.29,30.79,21.14
Gujarat,Navsari,3864.0,26.275,46.925,26.8
Gujarat,Panch Mahals,3858.0,21.525,49.55,28.925
Gujarat,Patan,3674.0,41.9375,12.8625,17.975
Gujarat,Porbandar,3858.0,21.525,49.55,28.925
Gujarat,Rajkot,3858.0,21.525,49.55,28.925
Gujarat,Sabar Kantha,3774.0,35.525,25.1625,12.0875
Gujarat,Surat,3864.0,26.275,46.925,26.8
Gujarat,Surendranagar,3858.0,21.525,49.55,28.925
Gujarat,Tapi,3864.0,26.275,46.925,26.8
Gujarat,The Dangs,3827.0,40.18333333333333,39.35,20.466666666666665
Gujarat,Vadodara,3676.0,49.325,20.3875,30.2875
Gujarat,Valsad,3827.0,40.18333333333333,39.35,20.466666666666665
Haryana,Ambala,3739.0,39.233333333333334,22.916666666666668,37.85
Haryana,Bhiwani,3541.0,46.31,12.24,19.05
Haryana,Faridabad,3810.0,53.56666666666667,21.716666666666665,24.716666666666665
Haryana,Fatehabad,3878.0,52.375,19.7,27.925
Haryana,Gurgaon,3878.0,52.375,19.7,27.925
Haryana,Hisar,3878.0,52.375,19.7,27.925
Haryana,Jhajjar,3878.0,52.375,19.7,27.925
Haryana,Jind,3874.0,50.675,20.725,28.6
Haryana,Kaithal,3874.0,50.675,20.725,28.6
Haryana,Karnal,3874.0,50.675,20.725,28.6
Haryana,Kurukshetra,3810.0,53.56666666666667,21.716666666666665,24.716666666666665
Haryana,Mahendragarh,3541.0,46.31,12.24,19.05
Haryana,Mewat,3797.0,56.5,21.3,22.2
Haryana,Palwal,3810.0,53.56666666666667,21.716666666666665,24.716666666666665
Haryana,Panchkula,3854.0,44.85,22.1,33.05
Haryana,Panipat,3874.0,50.675,20.725,28.6
Haryana,Rewari,3878.0,52.375,19.7,27.925
Haryana,Rohtak,3878.0,52.375,19.7,27.925
Haryana,Sirsa,3878.0,52.375,19.7,27.925
Haryana,Sonipat,3874.0,50.675,20.725,28.6
Haryana,Yamunanagar,3739.0,39.233333333333334,22.916666666666668,37.85
Himachal Pradesh,Bilaspur,3853.0,47.96666666666667,19.783333333333335,32.25
Himachal Pradesh,Chamba,3712.0,16.25,2.85,12.333333333333334
Himachal Pradesh,Hamirpur,3853.0,47.96666666666667,19.783333333333335,32.25
Himachal Pradesh,Kangra,3853.0,47.96666666666667,19.783333333333335,32.25
Himachal Pradesh,Kinnaur,3717.0,12.35,2.8125,6.1625
Himachal Pradesh,Kullu,3679.0,33.31,13.81,31.1
Himachal Pradesh,Lahul & Spiti,3679.0,33.31,13.81,31.1
